SampleID	marker	SRA_accession	BioSample_accession	BioProject_accession
WSH11_winter	Cytb	SRR8135185	SAMN09702539	PRJNA482277
WSH12_winter	Cytb	SRR8135186	SAMN09702540	PRJNA482277
WSH13_winter	Cytb	SRR8135187	SAMN09702541	PRJNA482277
WSH14_winter	Cytb	SRR8135188	SAMN09702542	PRJNA482277
WSH15_winter	Cytb	SRR8135179	SAMN09702543	PRJNA482277
WSH16_winter	Cytb	SRR8135180	SAMN09702544	PRJNA482277
WSH17_winter	Cytb	SRR8135207	SAMN09702545	PRJNA482277
WSH18_winter	Cytb	SRR8135206	SAMN09702546	PRJNA482277
WSH19_winter	Cytb	SRR8135205	SAMN09702547	PRJNA482277
WSH20_winter	Cytb	SRR8135204	SAMN09702548	PRJNA482277
WSH21_winter	Cytb	SRR8135203	SAMN09702549	PRJNA482277
WSH22_winter	Cytb	SRR8135202	SAMN09702550	PRJNA482277
WSH23_winter	Cytb	SRR8135201	SAMN09702551	PRJNA482277
WSH24_winter	Cytb	SRR8135200	SAMN09702552	PRJNA482277
WSH25_winter	Cytb	SRR8135209	SAMN09702553	PRJNA482277
WSH26_winter	Cytb	SRR8135208	SAMN09702554	PRJNA482277
WSH27_winter	Cytb	SRR8135223	SAMN09702555	PRJNA482277
WSH28_winter	Cytb	SRR8135224	SAMN09702556	PRJNA482277
WSH29_winter	Cytb	SRR8135221	SAMN09702557	PRJNA482277
WSH30_winter	Cytb	SRR8135222	SAMN09702558	PRJNA482277
WSH31_winter	Cytb	SRR8135227	SAMN09702559	PRJNA482277
WSH32_winter	Cytb	SRR8135228	SAMN09702560	PRJNA482277
WSH33_winter	Cytb	SRR8135225	SAMN09702561	PRJNA482277
WSH34_winter	Cytb	SRR8135226	SAMN09702562	PRJNA482277
WSH35_winter	Cytb	SRR8135231	SAMN09702563	PRJNA482277
WSH36_winter	Cytb	SRR8135232	SAMN09702564	PRJNA482277
